Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
Everaldo,205041,€400k,"Dec 10, 2025","Jul 5, 1991",34,1.82,Brazil,['Brazil'],Centre-Forward,"                0
0  Second Striker",Fluminense,,,"Feb 19, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Serginho,456449,€600k,"Dec 17, 2025","Apr 6, 1995",30,1.8,Brazil,[],Left Winger,,Karagümrük,,,"Jan 29, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Tchê Tchê,364261,€1.00m,"Dec 10, 2025","Aug 30, 1992",33,1.75,Brazil,[],Central Midfield,,Vasco da Gama,,,"Jan 1, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
José Luis Rodríguez,430339,€1.50m,"Dec 10, 2025","Mar 14, 1997",28,1.83,Uruguay,['Uruguay'],Right-Back,"                0
0  Right Midfield
1       Left-Back",Vasco da Gama,,,"Jan 4, 2023","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Patryck,662326,€1.50m,"Dec 10, 2025","Jan 18, 2003",23,1.84,Brazil,"['Brazil', 'Italy']",Left-Back,"             0
0  Centre-Back",Juventude,,,"Jan 1, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Talles Magno,677512,€4.50m,"Dec 10, 2025","Jun 26, 2002",23,1.86,Brazil,[],Left Winger,,New York City,,,"May 18, 2021","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Hernandes,1222769,,,"Mar 11, 2005",20,,Brazil,['Brazil'],Right-Back,,Atl. Alagoinhas,,,"Jan 9, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Endrick,971570,€25.00m,"Dec 12, 2025","Jul 21, 2006",19,1.73,Brazil,['Brazil'],Centre-Forward,"                0
0  Second Striker",Lyon,,,"Jan 1, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rai,980001,€50k,"Sep 30, 2025","Apr 26, 2004",21,1.8,Brazil,['Brazil'],Left Winger,"              0
0  Right Winger",Without Club,NK Vukovar 1991,"Nov 4, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Sillas,613904,,,"May 5, 1995",30,1.7,Brazil,['Brazil'],Attacking Midfield,"                  0
0    Second Striker
1  Central Midfield",Velo Clube-SP,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luighi,1158001,€5.00m,"Dec 10, 2025","Apr 30, 2006",19,1.82,Brazil,['Brazil'],Centre-Forward,"                0
0     Left Winger
1  Second Striker",Palmeiras,,,"Jan 7, 2025","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yannick Bolasie,75471,€200k,"Dec 10, 2025","May 24, 1989",36,1.85,DR Congo,[],Centre-Forward,,Chapecoense,,,"Jan 11, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Diego Palacios,425567,€1.50m,"Dec 18, 2025","Jul 12, 1999",26,1.69,Ecuador,[],Left-Back,,Corinthians,,,"Jan 2, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yannick Bolasie,75471,€200k,"Dec 10, 2025","May 24, 1989",36,1.85,DR Congo,"['England', 'DR Congo', 'France']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Chapecoense,,,"Jan 11, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Zé Rafael,225432,€2.50m,"Dec 10, 2025","Jun 16, 1993",32,1.75,Brazil,[],Central Midfield,,Santos,,,"Feb 26, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Calebe,798114,€2.00m,"Dec 12, 2025","Apr 30, 2000",25,1.73,Brazil,['Brazil'],Attacking Midfield,"                  0
0  Central Midfield
1      Right Winger",Alavés,,,"Jul 22, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Osvaldo,76191,€100k,"Dec 10, 2025","Apr 11, 1987",38,1.7,Brazil,[],Right Winger,,EC Vitória,,,"Jan 1, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Calegari,686597,€3.00m,"Dec 17, 2025","Feb 27, 2002",23,1.71,Brazil,[],Right-Back,,Eyüpspor,,,"Aug 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Helinho,412365,€6.50m,"Dec 29, 2025","Apr 25, 2000",25,1.75,Brazil,['Brazil'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Toluca,,,"Sep 15, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Felipe Estrella,648638,€125k,"Nov 12, 2025","Jan 10, 2001",25,1.9,Brazil,"['Brazil', 'Italy']",Centre-Forward,"                0
0  Second Striker
1    Right Winger",Nola,,,"Jul 15, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
João Lucas,672292,€1.50m,"Dec 10, 2025","Mar 9, 1998",27,1.81,Brazil,['Brazil'],Right-Back,,Remo,,,"Jan 9, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Paulo Roberto,1094961,€150k,"Dec 10, 2025","Nov 13, 2005",20,,Brazil,['Brazil'],Right-Back,,Vitória U20,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Dyego Luis,1127843,,,"Aug 24, 2005",20,1.83,Brazil,['Brazil'],Centre-Forward,,Sertãozinho U20,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Isidro Pitta,675178,€7.50m,"Dec 10, 2025","Aug 14, 1999",26,1.83,Paraguay,[],Centre-Forward,,RB Bragantino,,,"Jan 3, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Vitor Hugo,149752,€600k,"Dec 10, 2025","May 20, 1991",34,1.87,Brazil,[],Centre-Back,,Atlético-MG,,,"Jan 9, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Allan,385271,€3.00m,"Dec 10, 2025","Mar 3, 1997",28,1.72,Brazil,[],Defensive Midfield,,Flamengo,,,"Jul 1, 2023","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yan Souto,979629,€500k,"Nov 24, 2025","Oct 5, 2001",24,1.88,Brazil,[],Centre-Back,,Botafogo-PB,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Garcia,574758,€2.00m,"Dec 18, 2025","Jan 4, 2002",24,1.75,Brazil,[],Right-Back,,Famalicão,,,"Jul 6, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Bruno Tubarão,550178,€400k,"Dec 19, 2025","Mar 5, 1995",30,1.8,Brazil,['Brazil'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Persija,,,"Aug 19, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Léo Gamalho,143817,€100k,"Nov 24, 2025","Jan 30, 1986",39,1.88,Brazil,['Brazil'],Centre-Forward,,Botafogo-SP,,,"Jul 29, 2025","Apr 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
David Terans,261309,€1.00m,"Dec 18, 2025","Aug 11, 1994",31,1.76,Uruguay,['Uruguay'],Attacking Midfield,"                0
0    Right Winger
1  Second Striker",Fluminense,,,"Jan 24, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Everton Galdino,458251,€1.00m,"Dec 15, 2025","Mar 17, 1997",28,1.77,Brazil,['Brazil'],Right Winger,"                0
0     Left Winger
1  Centre-Forward",Mirassol-SP,,,"Jan 20, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Otávio,312314,€2.00m,"Dec 10, 2025","May 4, 1994",31,1.73,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield",Fluminense,,,"Feb 19, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Kayke Ayrton,1273513,,,"Apr 26, 2008",17,1.77,Brazil,['Brazil'],Right Winger,"             0
0  Left Winger",Athletico U17,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jhon Jhon,964582,€11.00m,"Dec 10, 2025","Sep 9, 2002",23,1.78,Brazil,[],Attacking Midfield,,RB Bragantino,,,"Jul 15, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
João Victor,626110,€1.50m,"Dec 10, 2025","Sep 2, 1997",28,1.88,Brazil,[],Centre-Back,,Mirassol-SP,,,"Jul 24, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Matheus Dias,815384,€1.50m,"Dec 18, 2025","May 9, 2002",23,1.87,Brazil,[],Defensive Midfield,,Nacional,,,"Jul 11, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gustavo Almeida,1223073,,,"Aug 11, 2004",21,,Brazil,['Brazil'],Central Midfield,"                    0
0  Attacking Midfield",Atlético-GO U20,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Fábio Soares,1094958,€50k,"Nov 24, 2025","Dec 3, 2004",21,1.78,Brazil,['Brazil'],Left Winger,"              0
0  Right Winger",Ferroviária,,,"Jun 10, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Cuiabano,891353,€8.00m,"Dec 10, 2025","Feb 16, 2003",22,1.79,Brazil,['Brazil'],Left-Back,"             0
0  Left Winger",Nott'm Forest,,,"Sep 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
José Andrés Hurtado,680506,€3.00m,"Dec 10, 2025","Dec 23, 2001",24,1.78,Ecuador,[],Right-Back,,RB Bragantino,,,"Jan 18, 2022","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Carlos Eduardo,363794,€500k,"Dec 10, 2025","Oct 10, 1996",29,1.73,Brazil,[],Right Winger,,Mirassol-SP,,,"Jun 17, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yarlen,1241278,€1.00m,"Dec 18, 2025","Feb 20, 2006",19,1.78,Brazil,['Brazil'],Right Winger,"             0
0  Left Winger",América-MG,,,"Jan 15, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Felipe Melo,35537,,,"Jun 26, 1983",42,1.83,Brazil,[],Defensive Midfield,,Retired,Fluminense,"Jan 24, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jhon Arias,588989,€15.00m,"Dec 9, 2025","Sep 21, 1997",28,1.68,Colombia,['Colombia'],Right Winger,"                    0
0  Attacking Midfield
1         Left Winger",Wolves,,,"Jul 24, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gabriel Menino,608216,€6.00m,"Dec 10, 2025","Sep 29, 2000",25,1.76,Brazil,['Brazil'],Central Midfield,"                    0
0  Defensive Midfield
1          Right-Back",Santos,,,"Jan 14, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luis Orejuela,331057,€400k,"Dec 5, 2025","Aug 20, 1995",30,1.8,Colombia,[],Right-Back,,Deportivo Cali,,,"Jul 9, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Arthur Caíke,224481,€400k,"Nov 24, 2025","Jun 15, 1992",33,1.74,Brazil,[],Left Winger,,Without Club,Goiás,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
André Luis,519851,€700k,"Nov 24, 2025","Apr 21, 1997",28,1.79,Brazil,['Brazil'],Right Winger,"                0
0     Left Winger
1  Second Striker",Vila Nova FC,,,"May 9, 2025","Nov 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Caio Vinicius,565443,€2.00m,"Nov 24, 2025","Jan 11, 1999",27,1.87,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield",YN Yukun,,,"Jan 5, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Maguinho,350766,€50k,"Nov 24, 2025","Jan 6, 1992",34,1.75,Brazil,['Brazil'],Right-Back,,América-MG,,,"Aug 13, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Thauan Lara,749557,€400k,"Dec 22, 2025","Jan 22, 2004",21,1.76,Brazil,['Brazil'],Left-Back,"               0
0  Left Midfield",Portimonense,,,"Aug 20, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Helibelton Palacios,211389,€450k,"Dec 5, 2025","Jun 11, 1993",32,1.81,Colombia,['Colombia'],Right-Back,"             0
0  Centre-Back",Indep. Santa Fe,,,"Jan 5, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Matheus Felipe,882916,€850k,"Nov 18, 2025","Nov 9, 1998",27,1.86,Brazil,[],Centre-Back,,Cong An HCMC,,,"Aug 6, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lucyan,1220277,,,"Jun 15, 2006",19,1.78,Brazil,['Brazil'],Right-Back,"              0
0  Right Winger",São Paulo U20,,,"Sep 2, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Higor Meritão,646432,€900k,"Nov 24, 2025","Jun 23, 1994",31,1.86,Brazil,[],Defensive Midfield,,Chapecoense,,,"Jan 1, 2026","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luis Otávio,1253921,€2.50m,"Dec 10, 2025","Apr 12, 2007",18,1.81,Brazil,['Brazil'],Defensive Midfield,,Internacional,,,"Oct 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Tomás Cardona,422700,€1.20m,"Dec 17, 2025","Oct 10, 1995",30,1.85,Argentina,[],Centre-Back,,Fortaleza,,,"Jan 16, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Pablo,149577,€500k,"Dec 10, 2025","Jun 21, 1991",34,1.88,Brazil,['Brazil'],Centre-Back,,São Bernardo,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Eryc Castillo,266451,€550k,"Nov 6, 2025","Feb 5, 1995",30,1.78,Ecuador,['Ecuador'],Right Winger,"             0
0  Left Winger",Alianza Lima,,,"Jan 7, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luiz Gustavo,1220468,€300k,"Dec 10, 2025","Apr 12, 2006",19,1.88,Brazil,['Brazil'],Centre-Back,,EC Bahia,,,"Aug 25, 2025","Dec 31, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Vitinho,323944,€400k,"Dec 10, 2025","Mar 24, 1998",27,1.76,Brazil,['Brazil'],Attacking Midfield,"              0
0   Left Winger
1  Right Winger",Without Club,RB Bragantino,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Nino,520454,€10.00m,"Dec 16, 2025","Apr 10, 1997",28,1.88,Brazil,[],Centre-Back,,Zenit S-Pb,,,"Jan 4, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Johan Caicedo,984107,€400k,"Dec 5, 2025","Mar 13, 2004",21,1.84,Colombia,[],Defensive Midfield,,Deportivo Pasto,,,"Jul 1, 2022","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rafael Haller,898036,€400k,"Dec 18, 2025","Aug 17, 2000",25,1.78,Uruguay,[],Right-Back,,Nacional,,,"Jan 3, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Davi Góes,1096275,€250k,"Sep 5, 2025","Jun 22, 2005",20,1.85,Brazil,['Brazil'],Defensive Midfield,"                    0
0    Central Midfield
1  Attacking Midfield",Palmeiras U20,,,"Jun 12, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Agustín Rossi,352324,€10.00m,"Dec 10, 2025","Aug 21, 1995",30,1.93,Argentina,[],Goalkeeper,,Flamengo,,,"Jul 1, 2023","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Imanol Machuca,829968,,,"Jan 15, 2000",26,1.7,Malaysia,[],Right Winger,,Fortaleza,,,"Jul 28, 2023","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luiz Henrique,800175,€24.00m,"Dec 16, 2025","Jan 2, 2001",25,1.82,Brazil,[],Right Winger,,Zenit S-Pb,,,"Jan 20, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Iuri Jean,1220616,,,"Feb 11, 2007",18,,Brazil,['Brazil'],Goalkeeper,,Bahia U20,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Igor Gomes,553459,€3.00m,"Dec 10, 2025","Mar 17, 1999",26,1.83,Brazil,['Brazil'],Attacking Midfield,"                  0
0  Central Midfield",Atlético-MG,,,"Jan 1, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Waliffer,1220615,,,"Jan 8, 2006",20,,Brazil,['Brazil'],Left Winger,"              0
0  Right Winger",Polissya-2,,,"Mar 2, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Joaquín Piquerez,496268,€14.00m,"Dec 10, 2025","Aug 24, 1998",27,1.84,Uruguay,[],Left-Back,,Palmeiras,,,"Jul 31, 2021","Dec 31, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Raul Gustavo,792345,€1.50m,"Dec 11, 2025","Apr 24, 1999",26,1.89,Brazil,[],Centre-Back,,New York City,,,"Aug 15, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lucas Halter,468302,€2.00m,"Dec 10, 2025","May 2, 2000",25,1.88,Brazil,[],Centre-Back,,Botafogo,,,"Jan 11, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
PK,373192,€200k,"Nov 24, 2025","Jul 5, 1994",31,1.81,Brazil,['Brazil'],Left-Back,,Botafogo-PB,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
David Luiz,46741,€200k,"Dec 23, 2025","Apr 22, 1987",38,1.89,Brazil,[],Centre-Back,,Pafos,,,"Aug 3, 2025","May 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rafael,68097,€400k,"Dec 10, 2025","Jun 23, 1989",36,1.92,Brazil,['Brazil'],Goalkeeper,,São Paulo,,,"Jan 1, 2023","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jadsom,612162,€3.20m,"Nov 28, 2025","May 20, 2001",24,1.76,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield
1        Right-Back",Al-Wahda,,,"Feb 11, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Bruno Henrique,277335,€350k,"Dec 10, 2025","Oct 21, 1989",36,1.8,Brazil,[],Central Midfield,,Internacional,,,"Jul 19, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ruan Oliveira,798106,€500k,"Dec 18, 2025","Mar 23, 2000",25,1.76,Brazil,['Brazil'],Central Midfield,"                    0
0  Attacking Midfield",Zorya Lugansk,,,"Jul 21, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Léo Pereira,288431,€10.00m,"Dec 10, 2025","Jan 31, 1996",29,1.89,Brazil,[],Centre-Back,,Flamengo,,,"Jan 31, 2020","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Walisson Maia,188715,€25k,"Nov 24, 2025","Aug 21, 1991",34,1.87,Brazil,[],Centre-Back,,Vila Nova FC,,,"Jan 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Héctor Hernández,273738,€800k,"Dec 10, 2025","Sep 14, 1995",30,1.8,Spain,['Spain'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Corinthians,,,"Aug 27, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Evertow,1127822,,,"Feb 1, 2007",18,1.86,Brazil,['Brazil'],Centre-Back,,Inter U20,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
João Carlos,738502,€350k,"Nov 24, 2025","Jun 21, 2001",24,1.68,Brazil,['Brazil'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Criciúma,,,"Jan 20, 2020","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Weverton,69400,€700k,"Dec 10, 2025","Dec 13, 1987",38,1.89,Brazil,[],Goalkeeper,,Grêmio,,,"Jan 15, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Alexander Barboza,379752,€5.00m,"Dec 10, 2025","Mar 16, 1995",30,1.93,Argentina,"['Uruguay', 'Argentina']",Centre-Back,"           0
0  Left-Back",Botafogo,,,"Jan 11, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Leonardo Godoy,369556,€1.70m,"Dec 17, 2025","Apr 28, 1995",30,1.73,Argentina,['Argentina'],Right-Back,,Independiente,,,"Jul 6, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luiz Felipe,373150,€350k,"Nov 24, 2025","Sep 9, 1993",32,1.89,Brazil,['Brazil'],Centre-Back,,Goiás,,,"Jan 1, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Carlos de Pena,257740,€1.00m,"Nov 24, 2025","Mar 11, 1992",33,1.77,Uruguay,"['Uruguay', 'Italy']",Left Winger,"                    0
0    Central Midfield
1  Attacking Midfield",Without Club,Coritiba FC,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lucas Romero,242201,€2.80m,"Dec 10, 2025","Apr 18, 1994",31,1.67,Argentina,[],Defensive Midfield,,Cruzeiro,,,"Jan 9, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Sabino,546033,€750k,"Dec 10, 2025","Oct 25, 1996",29,1.85,Brazil,['Brazil'],Centre-Back,,São Paulo,,,"Mar 15, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Halls,734169,€300k,"Nov 24, 2025","Jun 17, 1999",26,1.98,Brazil,['Brazil'],Goalkeeper,,Sport Recife,,,"Jan 14, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Nenê,29091,€100k,"Dec 10, 2025","Jul 19, 1981",44,1.81,Brazil,"['Spain', 'Brazil']",Attacking Midfield,"                0
0  Second Striker
1  Centre-Forward",Botafogo-PB,,,"Jan 10, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yago Felipe,346935,€1.50m,"Dec 10, 2025","Feb 3, 1995",30,1.74,Brazil,[],Central Midfield,,Sport Recife,,,"Jan 21, 2026","Nov 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Da Mata,1005007,,,"Mar 13, 2006",19,1.85,Brazil,['Brazil'],Centre-Back,,Flamengo U20,,,"Jan 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Felipe Estrella,648638,€125k,"Nov 12, 2025","Jan 10, 2001",25,1.9,Brazil,[],Centre-Forward,,Nola,,,"Jul 15, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
JP,1083970,€2.00m,"Nov 24, 2025","Apr 19, 2005",20,1.82,Brazil,['Brazil'],Central Midfield,,Vasco da Gama,,,"Jun 1, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gustavo Apis,901014,€150k,"Dec 22, 2025","Jun 14, 1999",26,1.76,Brazil,['Brazil'],Attacking Midfield,"              0
0  Right Winger
1   Left Winger",Pattaya United,,,"Aug 13, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Charles,486078,€1.00m,"Dec 10, 2025","Jun 19, 1996",29,1.87,Brazil,[],Central Midfield,,Corinthians,,,"Jul 24, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
David Braz,53226,,,"May 21, 1987",38,1.88,Brazil,[],Centre-Back,,Ponte Preta,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
