Name,Idade,Position,Time,Value,Gols,Assis.,xG,xAG,Bloqueios
Santiago Arias,32,Right-Back,Bahia,€1.50m,0,1,0.5,3.1,14.0
Juan Sforza,22,Defensive Midfield,Vasco da Gama,€1.50m,1,0,0.7000000000000001,0.1,19.0
Thaciano,28,Attacking Midfield,Bahia,€1.20m,7,2,5.6000000000000005,2.4,16.0
Robert Rojas,27,Centre-Back,Vasco da Gama,€1.50m,0,0,0.0,0.0,0.0
Dudu Vieira,30,Central Midfield,Juventude,,0,0,0.0,0.0,6.0
John Kennedy,21,Centre-Forward,Fluminense,€6.00m,0,0,1.2000000000000002,0.0,6.0
Daniel Jr,21,Attacking Midfield,Vitória,€600k,0,0,0.1,0.4,0.0
Ayrton Lucas,26,Left-Back,Flamengo,€5.00m,3,3,1.3,2.0,23.0
Kauê,19,Central Midfield,Botafogo (RJ),€2.00m,1,0,0.1,0.0,3.0
Sergio Palacios,19,Centre-Back,Red Bull Bragantino,€900k,0,0,0.0,0.0,0.0
Carlos Alcaraz,21,Central Midfield,Flamengo,€15.00m,2,1,3.1,0.5,13.0
Diego Gonçalves,30,Left Winger,Juventude,€500k,1,0,0.2,0.0,3.0
Gustavo Henrique,31,Centre-Back,Corinthians,€800k,1,0,0.8,0.2,20.0
Clayson,29,Left Winger,Cuiabá,€800k,5,1,2.7,1.1,27.0
Clayton,25,Centre-Forward,Vasco da Gama,€8.00m,0,0,0.9,0.3,5.0
Werton,20,Left Winger,Flamengo,€750k,0,0,0.1,0.0,1.0
Jadson,30,Right Winger,Juventude,€250k,1,5,1.8,3.2,33.0
Matheus Bidu,24,Left-Back,Corinthians,€3.00m,2,1,0.9,1.0,20.0
Jean Mota,30,Central Midfield,Vitória,€500k,1,0,0.4,0.8,1.0
Jandrei,31,Goalkeeper,São Paulo,€200k,0,0,0.0,0.0,1.0
Bruno Zapelli,21,Attacking Midfield,Athletico Paranaense,€4.50m,0,5,3.7,4.4,16.0
Yeferson Soteldo,26,Left Winger,Grêmio,€4.00m,5,2,2.9,4.6,10.0
Felipe Jonatan,26,Left-Back,Fortaleza,€2.00m,0,0,0.6,0.6000000000000001,14.0
Luiz Araújo,27,Right Winger,Flamengo,€7.00m,4,5,3.3000000000000003,4.5,25.0
Jemerson,31,Centre-Back,Atlético Mineiro,€700k,1,0,0.7,0.0,23.0
Gonzalo Plata,23,Right Winger,Flamengo,€8.00m,1,0,1.6,1.8,11.0
Lucas Esteves,23,Left-Back,Vitória,€1.80m,1,4,1.6,2.8,29.0
Mariano,38,Right-Back,Atlético Mineiro,€75k,0,0,0.0,0.6000000000000001,3.0
Mateo Ponte,20,Right-Back,Botafogo (RJ),€2.00m,3,0,1.4,0.9,8.0
Chumbinho,20,Defensive Midfield,Red Bull Bragantino,,0,0,0.1,0.0,1.0
Randerson,20,Defensive Midfield,Atlético Goianiense,,0,0,0.0,0.0,0.0
Caio Maia,19,Left Winger,Atlético Mineiro,,0,0,0.2,0.0,0.0
Alejo Cruz,23,Left Winger,Atlético Goianiense,€400k,2,2,2.5,3.4,24.0
Derek,26,Centre-Forward,Atlético Goianiense,€500k,3,1,3.9,1.8,13.0
Kervin Andrade,19,Attacking Midfield,Fortaleza,€1.50m,1,1,1.0,1.1,7.0
Rodrigo,20,Centre-Back,São Paulo,€50k,0,0,0.4,0.0,3.0
Rezende,29,Defensive Midfield,Bahia,€800k,0,0,0.5,0.0,8.0
Giovane,20,Centre-Forward,Corinthians,€12.00m,1,0,1.0,0.1,0.0
Richard Ríos,23,Defensive Midfield,Palmeiras,€22.00m,3,4,1.4000000000000001,1.4,27.0
Marcos Rocha,35,Right-Back,Palmeiras,€250k,0,2,0.30000000000000004,3.6,22.0
Caetano,24,Centre-Back,Corinthians,€1.20m,0,0,0.1,0.1,4.0
Marcelo Lomba,37,Goalkeeper,Palmeiras,€100k,0,0,0.0,0.0,0.0
Igor Rabello,28,Centre-Back,Atlético Mineiro,€1.40m,0,1,0.30000000000000004,0.2,14.0
Lyncon,19,Centre-Back,Vasco da Gama,€100k,1,0,0.2,0.0,0.0
Joel Campbell,32,Second Striker,Atlético Goianiense,€375k,2,0,1.8,0.5,3.0
Jhosefer,20,Central Midfield,Cruzeiro,€400k,0,0,0.0,0.0,1.0
João Pedro,18,Centre-Forward,Vasco da Gama,€1.50m,1,4,1.3,2.1,24.0
Kevin Serna,26,Right Winger,Fluminense,€5.00m,3,2,2.6,1.2,6.0
Lucas Alario,31,Centre-Forward,Internacional,€350k,0,0,1.8,0.1,2.0
Marlon Freitas,29,Defensive Midfield,Botafogo (RJ),€6.00m,0,5,1.6,4.4,33.0
Matheus Donelli,22,Goalkeeper,Corinthians,€1.50m,0,0,0.0,0.0,0.0
Felipe Anderson,31,Right Winger,Palmeiras,€2.50m,2,2,3.0,4.0,25.0
Alan Kardec,35,Centre-Forward,Atlético Mineiro,€150k,0,0,1.0,0.5,3.0
Walter,36,Goalkeeper,Cuiabá,€200k,0,0,0.0,0.0,0.0
Esquerdinha,18,Left-Back,Fluminense,€3.50m,0,0,0.1,0.3,2.0
Thiago Almada,23,Left Winger,Botafogo (RJ),€20.00m,1,2,3.4,2.7,7.0
Matheus Nascimento,20,Centre-Forward,Botafogo (RJ),€2.50m,0,0,0.0,0.0,1.0
Reinaldo,34,Left-Back,Grêmio,€400k,2,2,1.6,2.9000000000000004,19.0
Juan Martín Lucero,32,Centre-Forward,Fortaleza,€900k,8,3,6.7,2.0,9.0
Marcelo,35,Left-Back,Fluminense,,1,1,1.2000000000000002,1.6,15.0
Matheuzinho,23,Right-Back,Corinthians,€6.00m,1,1,1.6,1.4000000000000001,28.0
David Duarte,29,Centre-Back,Bahia,€1.20m,1,0,0.1,0.0,3.0
Allano,29,Right Winger,Criciúma,€400k,1,2,2.0,1.8,23.0
Raúl Cáceres,32,Right-Back,Vitória,€225k,0,3,0.1,2.4,16.0
Bento,24,Goalkeeper,Athletico Paranaense,€9.00m,0,0,0.0,0.0,0.0
Lucas Fernandes,26,Attacking Midfield,Cuiabá,€1.20m,1,1,0.7000000000000001,0.5,8.0
Jonathan Calleri,30,Centre-Forward,São Paulo,€1.50m,5,4,5.4,1.2,8.0
Thiago Maia,27,Defensive Midfield,Internacional,€3.00m,2,4,2.3,2.4,21.0
Guillermo Varela,31,Right-Back,Flamengo,€1.20m,1,0,0.2,1.0,12.0
Wallace,19,Central Midfield,Flamengo,€150k,0,0,0.0,0.0,0.0
Rafael Elias,25,Centre-Forward,Cruzeiro,€3.20m,1,0,0.6,0.0,1.0
Cacá,25,Centre-Back,Corinthians,€1.70m,4,1,4.2,0.2,44.0
Rodrigo Sam,28,Centre-Back,Juventude,€350k,1,0,0.5,0.1,13.0
Everton,27,Left Winger,Grêmio,,0,0,0.1,0.7000000000000001,5.0
Agustín Marchesín,36,Goalkeeper,Grêmio,€700k,0,0,0.0,0.0,1.0
Bernard,31,Left Winger,Atlético Mineiro,€750k,0,0,0.6000000000000001,1.8,7.0
Patrick de Paula,24,Defensive Midfield,Botafogo (RJ),€3.00m,0,0,0.1,0.0,5.0
André,22,Defensive Midfield,Fluminense,€28.00m,0,1,0.1,0.0,16.0
Werik Popó,22,Centre-Forward,Juventude,€275k,0,0,0.2,0.2,1.0
Lucas Di Yorio,27,Centre-Forward,Athletico Paranaense,€2.00m,3,0,3.8000000000000003,0.2,7.0
Raphael Veiga,28,Attacking Midfield,Palmeiras,€10.00m,11,3,10.700000000000001,7.1000000000000005,17.0
Matheusinho,26,Attacking Midfield,Criciúma,€1.50m,9,7,6.5,5.1,25.0
Rodrigo Andrade,26,Defensive Midfield,Vitória,€600k,0,0,0.30000000000000004,0.30000000000000004,8.0
Douglas Mendes,19,Centre-Back,Red Bull Bragantino,€1.20m,2,0,1.5999999999999999,0.0,16.0
Gabriel Inocêncio,29,Right-Back,Juventude,€250k,0,1,0.0,0.7,7.0
Hulk,37,Centre-Forward,Atlético Mineiro,€1.20m,10,5,8.5,2.0,8.0
Marcelo Hermes,29,Left-Back,Criciúma,€1.00m,2,5,1.5,2.9,41.0
Ramon,23,Left-Back,Cuiabá,€2.00m,2,1,0.7000000000000001,1.2,28.0
Riquelme,18,Defensive Midfield,Red Bull Bragantino,€300k,0,0,0.0,0.0,1.0
Rafael Borré,28,Centre-Forward,Internacional,€4.00m,9,3,13.1,0.8,13.0
Vitor Eudes,26,Goalkeeper,Fluminense,€400k,0,0,0.0,0.0,0.0
Fabrício Bruno,28,Centre-Back,Flamengo,€12.00m,1,0,0.6000000000000001,0.2,21.0
Mateus Pasinato,32,Goalkeeper,Cuiabá,€150k,0,0,0.0,0.0,0.0
Luciano Giménez,24,Centre-Forward,Cuiabá,€700k,0,0,0.1,0.0,1.0
Thiago Borbas,22,Centre-Forward,Red Bull Bragantino,€4.00m,2,0,2.1,0.4,8.0
Julimar,23,Left Winger,Athletico Paranaense,€1.50m,6,2,5.9,2.0,22.0
Rodrigo Battaglia,32,Defensive Midfield,Atlético Mineiro,€800k,0,0,0.30000000000000004,0.0,30.0
Diego Hernández,23,Left Winger,Botafogo (RJ),€1.80m,0,2,0.0,0.5,5.0
Felipe Carballo,27,Central Midfield,Grêmio,€4.00m,0,0,0.4,0.0,5.0
Nonato,26,Central Midfield,Fluminense,€1.20m,0,1,0.1,0.1,4.0
Douglas Costa,33,Right Winger,Fluminense,€400k,0,0,0.0,0.30000000000000004,4.0
Lucão,23,Goalkeeper,Red Bull Bragantino,€1.20m,0,0,0.0,0.4,0.0
Fellipe Mateus,33,Attacking Midfield,Criciúma,€150k,3,0,1.7000000000000002,0.8,23.0
Lucca Drummond,20,Centre-Forward,Internacional,,0,1,0.0,0.30000000000000004,0.0
Fagner,34,Right-Back,Corinthians,€250k,0,1,0.1,2.2,8.0
André Carrillo,33,Central Midfield,Corinthians,€900k,0,2,0.30000000000000004,2.1,11.0
Lucas Silva,31,Defensive Midfield,Cruzeiro,€500k,1,1,0.8,1.3,28.0
Bruno Lopes,16,Centre-Forward,Vasco da Gama,,0,0,0.0,0.0,0.0
Rikelme,20,Left-Back,Cuiabá,€1.50m,0,0,0.0,0.1,6.0
Rodrigo Nestor,23,Central Midfield,São Paulo,€7.00m,0,2,0.9,1.4000000000000001,7.0
Nikão,31,Attacking Midfield,Athletico Paranaense,€500k,6,2,3.6,2.9,11.0
Luciano Rodríguez,21,Centre-Forward,Bahia,€10.00m,6,1,6.0,1.1,7.0
Lucas Sasha,34,Defensive Midfield,Fortaleza,€200k,0,0,0.5,1.5,35.0
Matías Viña,26,Left-Back,Flamengo,€4.00m,0,0,0.2,0.6,5.0
Gabriel Moscardo,18,Defensive Midfield,Corinthians,€7.00m,0,0,0.1,0.0,1.0
Gabriel Souza,19,Goalkeeper,Vasco da Gama,,1,0,0.2,0.0,1.0
Rildo,24,Attacking Midfield,Juventude,€750k,0,0,0.2,0.1,0.0
Ricardo Mathias,18,Centre-Forward,Internacional,€9.00m,1,0,1.0999999999999999,0.4,1.0
Adriano Martins,27,Centre-Back,Atlético Goianiense,€700k,0,0,1.2000000000000002,0.0,41.0
Marcelinho,21,Right Winger,Juventude,€900k,2,3,1.7,0.3,3.0
Max,22,Right Winger,Cuiabá,€200k,1,0,1.1,1.7,16.0
Yerson Candelo,32,Right-Back,Criciúma,€250k,0,0,0.0,0.0,0.0
Kayke,20,Left Winger,Corinthians,€800k,0,0,0.0,0.0,0.0
Yago,29,Defensive Midfield,Bahia,,0,0,0.0,0.0,2.0
Luciano Juba,24,Left-Back,Bahia,€11.00m,3,1,1.4000000000000001,4.5,24.0
Gonzalo Mastriani,30,Centre-Forward,Athletico Paranaense,€1.20m,4,0,4.2,0.8999999999999999,8.0
Germán Cano,36,Centre-Forward,Fluminense,€600k,4,0,5.3,1.2000000000000002,4.0
Rafinha,38,Right-Back,São Paulo,,0,0,0.0,0.1,7.0
Willean Lepo,27,Right-Back,Vitória,€700k,0,0,0.9,1.4,27.0
Lázaro,22,Left Winger,Palmeiras,€2.00m,2,0,2.8000000000000003,0.5,8.0
Alex Sandro,33,Left-Back,Flamengo,€1.50m,0,1,0.4,1.6,2.0
Zé Ivaldo,27,Centre-Back,Cruzeiro,€2.50m,1,0,1.1,0.4,30.0
João Moreira,20,Right-Back,São Paulo,€1.20m,0,0,0.0,0.0,2.0
Fernandinho,38,Defensive Midfield,Athletico Paranaense,,2,3,1.6,2.5,11.0
Gary Medel,36,Centre-Back,Vasco da Gama,€50k,0,0,0.0,0.0,1.0
Guilherme Romão,26,Left-Back,Atlético Goianiense,€400k,1,3,1.6,2.8000000000000003,26.0
Lorran,17,Attacking Midfield,Flamengo,€7.50m,1,1,2.0,0.9,6.0
Rafael Ratão,28,Left Winger,Bahia,€3.00m,1,2,2.9000000000000004,0.6,5.0
Cleiton,21,Goalkeeper,Flamengo,€3.00m,0,0,0.0,0.0,0.0
Alexander Aravena,21,Left Winger,Grêmio,€4.00m,2,2,2.0,1.1,2.0
Hugo Mallo,32,Right-Back,Internacional,€500k,1,0,0.2,0.0,4.0
Felipe Vizeu,27,Centre-Forward,Criciúma,€350k,2,0,0.8,0.2,1.0
José Cifuentes,25,Central Midfield,Cruzeiro,€4.50m,0,0,0.0,0.0,0.0
Alerrandro,24,Centre-Forward,Vitória,€3.00m,15,4,11.0,2.6,29.0
Victor Hugo,19,Attacking Midfield,Flamengo,€3.50m,0,0,0.2,0.2,4.0
Newton,24,Defensive Midfield,Criciúma,€3.00m,1,1,1.5,0.8,15.0
Nahuel Ferraresi,25,Centre-Back,São Paulo,€4.50m,1,1,0.30000000000000004,0.8,23.0
Mateus Vital,26,Central Midfield,Cruzeiro,€3.50m,1,1,0.8,0.4,4.0
Fausto Vera,24,Defensive Midfield,Corinthians,€4.50m,2,0,2.2,0.30000000000000004,20.0
Pedrão,31,Centre-Back,Atlético Goianiense,€150k,0,0,0.2,0.1,9.0
Michael,28,Left Winger,Flamengo,€3.00m,4,1,3.5,1.5,5.0
David,28,Left Winger,Vasco da Gama,€1.50m,4,3,1.9,1.7,12.0
Zé Guilherme,19,Left-Back,Grêmio,€400k,0,0,0.0,0.0,2.0
Liziero,26,Central Midfield,São Paulo,€1.20m,1,0,0.0,0.0,4.0
Anthoni,22,Goalkeeper,Internacional,€4.00m,0,0,0.0,0.0,0.0
Pedro Geromel,38,Centre-Back,Grêmio,,0,0,0.30000000000000004,0.0,14.0
Matheus Pereira,27,Attacking Midfield,Cruzeiro,€14.00m,8,7,5.1000000000000005,5.6,19.0
James Rodríguez,32,Attacking Midfield,São Paulo,€2.00m,0,0,0.0,0.0,0.0
Luiz Adriano,37,Centre-Forward,Vitória,,0,1,0.1,0.1,2.0
Guga,25,Right-Back,Fluminense,€2.00m,0,1,0.0,0.1,6.0
Bruno Uvini,32,Centre-Back,Vitória,€225k,0,0,0.1,0.0,6.0
Renê,31,Left-Back,Internacional,€500k,0,0,0.7,0.6000000000000001,9.0
Biel,23,Left Winger,Bahia,€4.50m,5,4,4.5,3.4,6.0
Lima,27,Attacking Midfield,Fluminense,€2.50m,4,0,1.9000000000000001,0.30000000000000004,16.0
Martin Braithwaite,33,Centre-Forward,Grêmio,€1.50m,7,2,5.2,1.2999999999999998,6.0
Giuliano Galoppo,24,Central Midfield,São Paulo,€4.50m,0,0,0.9,0.4,4.0
Gabriel Taliari,27,Centre-Forward,Juventude,€1.50m,2,2,3.5000000000000004,1.6,5.0
Damián Suárez,35,Right-Back,Botafogo (RJ),€50k,0,1,0.0,1.6,12.0
Lucas Barbosa,23,Right Winger,Juventude,€5.00m,7,2,6.1000000000000005,3.2,57.0
Leandrinho,19,Left-Back,Vasco da Gama,€1.80m,1,1,0.0,0.0,10.0
Jair,30,Defensive Midfield,Vasco da Gama,€1.80m,0,0,0.0,0.0,2.0
Philipe Sampaio,29,Centre-Back,Atlético Goianiense,€250k,0,0,0.1,0.2,1.0
Lucas Kal,28,Central Midfield,Atlético Goianiense,€1.30m,0,1,0.30000000000000004,0.5,13.0
Erick Pulgar,30,Defensive Midfield,Flamengo,€5.00m,0,3,1.0,1.8,20.0
Vitor Reis,18,Centre-Back,Palmeiras,€30.00m,1,0,0.5,0.0,13.0
Guilherme Madruga,23,Defensive Midfield,Cuiabá,€700k,0,1,0.30000000000000004,0.6000000000000001,3.0
Maxime Dominguez,28,Central Midfield,Vasco da Gama,€1.20m,1,0,0.2,0.1,5.0
Breno,19,Defensive Midfield,Corinthians,,3,2,4.0,1.8,37.0
Fabiano,18,Defensive Midfield,Botafogo (RJ),,0,0,0.0,0.0,0.0
Lucas Piton,23,Left-Back,Vasco da Gama,€7.00m,1,5,0.5,3.5,24.0
Railan,24,Right-Back,Cuiabá,€300k,0,3,0.30000000000000004,0.5,11.0
Facundo Bernal,20,Defensive Midfield,Fluminense,€6.00m,0,0,0.4,0.1,9.0
Filipe Augusto,30,Defensive Midfield,Cuiabá,€400k,0,0,0.30000000000000004,0.1,16.0
Tomás Cuello,24,Left Winger,Athletico Paranaense,€6.00m,3,5,2.7,4.1,33.0
Renato Augusto,36,Central Midfield,Fluminense,,1,1,0.6000000000000001,0.7,1.0
Igor Coronado,31,Attacking Midfield,Corinthians,€1.70m,1,2,1.2,3.9000000000000004,27.0
Raniele,27,Defensive Midfield,Corinthians,€3.00m,0,0,1.3,1.0,40.0
Yeferson Rodallega,23,Left-Back,Atlético Goianiense,€200k,0,0,0.0,0.0,2.0
Rodrigo Ely,30,Centre-Back,Grêmio,€1.00m,1,0,0.9,0.2,32.0
Deyverson,32,Centre-Forward,Cuiabá,€400k,3,1,2.9,0.6,9.0
Eros Mancuso,25,Right-Back,Fortaleza,€3.50m,1,2,0.5,0.6,12.0
Maicon,35,Centre-Back,Vasco da Gama,€100k,1,0,0.7,0.4,45.0
Marquinhos Gabriel,33,Attacking Midfield,Criciúma,€200k,0,0,0.5,1.8,11.0
Fabricio Bustos,27,Right-Back,Internacional,€3.00m,1,1,0.7,0.7,10.0
Mateus Claus,29,Goalkeeper,Juventude,€300k,0,0,0.0,0.0,0.0
Matheus Henrique,26,Central Midfield,Cruzeiro,€4.50m,2,0,1.2000000000000002,0.2,17.0
Mateo Zuleta,21,Left Winger,Atlético Goianiense,€800k,1,0,0.4,0.1,2.0
Edson Carioca,27,Centre-Forward,Juventude,€1.50m,3,2,1.6,0.4,18.0
Matheus Cunha,23,Goalkeeper,Flamengo,€2.00m,0,0,0.0,0.0,0.0
Caíque,26,Goalkeeper,Grêmio,€600k,0,0,0.0,0.0,0.0
Ignácio,27,Centre-Back,Fluminense,€2.00m,0,0,0.0,0.1,3.0
Alex Santana,28,Central Midfield,Athletico Paranaense,€1.20m,0,0,0.8999999999999999,0.2,7.0
William Gomes,18,Right Winger,São Paulo,€20.00m,3,1,1.2999999999999998,0.4,9.0
Mathías Villasanti,27,Defensive Midfield,Grêmio,€5.00m,3,1,2.1,1.5,41.0
Ángel Romero,31,Right Winger,Corinthians,€900k,5,4,5.4,2.7,15.0
Isaque,17,Attacking Midfield,Fluminense,€8.00m,0,0,0.0,0.0,0.0
Paulo Vitor,19,Defensive Midfield,Atlético Mineiro,€700k,0,0,0.0,0.1,9.0
Denilson,23,Central Midfield,Cuiabá,€2.00m,0,3,0.9,2.2,14.0
André Silva,26,Centre-Forward,São Paulo,€4.00m,7,2,3.9,0.8,18.0
Pedro Raul,27,Centre-Forward,Corinthians,€4.00m,0,0,1.4,0.30000000000000004,4.0
Matheus Martins,21,Left Winger,Botafogo (RJ),€6.00m,2,0,1.5,1.0,7.0
Lucas Belezi,21,Centre-Back,Athletico Paranaense,€1.20m,1,0,0.8,0.1,12.0
Léo Naldi,22,Defensive Midfield,Vitória,€600k,0,0,0.30000000000000004,0.1,21.0
Robert Arboleda,32,Centre-Back,São Paulo,€600k,2,0,1.2000000000000002,0.5,28.0
Matheus Fernandes,25,Defensive Midfield,Red Bull Bragantino,€2.00m,1,1,0.5,0.6,17.0
Daniel Sales,18,Right-Back,Flamengo,,0,0,0.0,0.0,0.0
Kauã Elias,18,Centre-Forward,Fluminense,€15.00m,5,2,4.5,1.5,6.0
